distancia_inicio_m,distancia_fin_m,resistividad_suelo_ohm_cm
1868.333333,1883.333333,30000
1883.333333,1898.333333,30000
1898.333333,1913.333333,30000
1913.333333,1928.333333,30000
1928.333333,1943.333333,30000
1943.333333,1958.333333,30000
1958.333333,1973.333333,30000
1973.333333,1988.333333,30000
1988.333333,2003.333333,30000
2003.333333,2018.333333,30000
2018.333333,2033.333333,30000
2033.333333,2048.333333,30000
2048.333333,2063.333333,30000
2063.333333,2078.333333,30000
2078.333333,2093.333333,30000
2093.333333,2108.333333,30000
2108.333333,2123.333333,30000
2123.333333,2138.333333,30000
2138.333333,2153.333333,30000
2153.333333,2168.333333,30000
2168.333333,2183.333333,30000
2183.333333,2198.333333,30000
2198.333333,2213.333333,30000
2213.333333,2228.333333,30000
2228.333333,2243.333333,30000
2243.333333,2258.333333,30000
2258.333333,2273.333333,30000
2273.333333,2288.333333,30000
2288.333333,2303.333333,30000
2303.333333,2318.333333,30000
2318.333333,2333.333333,30000
2333.333333,2348.333333,30000
2348.333333,2363.333333,30000
2363.333333,2378.333333,30000
2378.333333,2393.333333,30000
2393.333333,2408.333333,30000
2408.333333,2423.333333,30000
2423.333333,2438.333333,30000
2438.333333,2453.333333,30000
2453.333333,2468.333333,30000
2468.333333,2483.333333,30000
2483.333333,2498.333333,30000
2498.333333,2513.333333,30000
2513.333333,2528.333333,30000
2528.333333,2543.333333,30000
2543.333333,2558.333333,30000
2558.333333,2573.333333,30000
2573.333333,2588.333333,30000
2588.333333,2603.333333,30000
2603.333333,2618.333333,30000
2618.333333,2633.333333,30000
2633.333333,2648.333333,30000
2648.333333,2663.333333,30000
2663.333333,2678.333333,30000
2678.333333,2693.333333,30000
2693.333333,2708.333333,30000
2708.333333,2723.333333,30000
2723.333333,2738.333333,30000
2738.333333,2753.333333,30000
2753.333333,2768.333333,30000
2768.333333,2783.333333,30000
2783.333333,2798.333333,30000
2798.333333,2813.333333,30000
2813.333333,2828.333333,30000
2828.333333,2843.333333,30000
2843.333333,2858.333333,30000
2858.333333,2873.333333,30000
2873.333333,2888.333333,30000
2888.333333,2903.333333,30000
2903.333333,2918.333333,30000
2918.333333,2933.333333,30000
2933.333333,2948.333333,30000
2948.333333,2963.333333,30000
2963.333333,2978.333333,30000
2978.333333,2993.333333,30000
2993.333333,3008.333333,30000
3008.333333,3023.333333,30000
3023.333333,3038.333333,30000
3038.333333,3053.333333,30000
3053.333333,3068.333333,30000
3068.333333,3083.333333,30000
3083.333333,3098.333333,30000
3098.333333,3113.333333,30000
3113.333333,3128.333333,30000
3128.333333,3143.333333,30000
3143.333333,3158.333333,30000
3158.333333,3173.333333,30000
3173.333333,3188.333333,30000
3188.333333,3203.333333,30000
3203.333333,3218.333333,30000
3218.333333,3233.333333,30000
3233.333333,3248.333333,30000
3248.333333,3263.333333,30000
3263.333333,3278.333333,30000
3278.333333,3293.333333,30000
3293.333333,3308.333333,30000
3308.333333,3323.333333,30000
3323.333333,3338.333333,30000
3338.333333,3353.333333,30000
3353.333333,3368.333333,30000
3368.333333,3383.333333,30000
3383.333333,3398.333333,30000
3398.333333,3413.333333,30000
3413.333333,3428.333333,30000
3428.333333,3443.333333,30000
3443.333333,3458.333333,30000
3458.333333,3473.333333,30000
3473.333333,3488.333333,30000
3488.333333,3503.333333,30000
3503.333333,3518.333333,30000
3518.333333,3533.333333,30000
3533.333333,3548.333333,30000
3548.333333,3563.333333,30000
3563.333333,3578.333333,30000
3578.333333,3593.333333,30000
3593.333333,3608.333333,30000
3608.333333,3623.333333,30000
3623.333333,3638.333333,30000
3638.333333,3653.333333,30000
3653.333333,3668.333333,30000
3668.333333,3683.333333,30000
3683.333333,3698.333333,30000
3698.333333,3713.333333,30000
3713.333333,3728.333333,30000
3728.333333,3743.333333,30000
3743.333333,3758.333333,30000
3758.333333,3773.333333,30000
3773.333333,3788.333333,30000
3788.333333,3803.333333,30000
3803.333333,3818.333333,30000
3818.333333,3833.333333,30000
3833.333333,3848.333333,30000
3848.333333,3863.333333,30000
3863.333333,3878.333333,30000
3878.333333,3893.333333,30000
3893.333333,3908.333333,30000
3908.333333,3923.333333,30000
3923.333333,3938.333333,30000
3938.333333,3953.333333,30000
3953.333333,3968.333333,30000
3968.333333,3983.333333,30000
3983.333333,3998.333333,30000
3998.333333,4013.333333,30000
4013.333333,4028.333333,30000
4028.333333,4043.333333,30000
4043.333333,4058.333333,30000
4058.333333,4073.333333,30000
4073.333333,4088.333333,30000
4088.333333,4103.333333,30000
4103.333333,4118.333333,30000
4118.333333,4133.333333,30000
4133.333333,4148.333333,30000
4148.333333,4163.333333,30000
4163.333333,4178.333333,30000
4178.333333,4193.333333,30000
4193.333333,4208.333333,30000
4208.333333,4223.333333,30000
4223.333333,4238.333333,30000
4238.333333,4253.333333,30000
4253.333333,4268.333333,30000
4268.333333,4283.333333,30000
4283.333333,4298.333333,30000
4298.333333,4313.333333,30000
4313.333333,4328.333333,30000
4328.333333,4343.333333,30000
4343.333333,4358.333333,30000
4358.333333,4373.333333,30000
4373.333333,4388.333333,30000
4388.333333,4403.333333,30000
4403.333333,4418.333333,30000
4418.333333,4433.333333,30000
4433.333333,4448.333333,30000
4448.333333,4463.333333,30000
4463.333333,4478.333333,30000
4478.333333,4493.333333,30000
4493.333333,4508.333333,30000
4508.333333,4523.333333,30000
4523.333333,4538.333333,30000
4538.333333,4553.333333,30000
4553.333333,4568.333333,30000
4568.333333,4583.333333,30000
4583.333333,4598.333333,30000
4598.333333,4613.333333,30000
4613.333333,4628.333333,30000
4628.333333,4643.333333,30000
4643.333333,4658.333333,30000
4658.333333,4673.333333,30000
4673.333333,4688.333333,30000
4688.333333,4703.333333,30000
4703.333333,4718.333333,30000
4718.333333,4733.333333,30000
4733.333333,4748.333333,30000
4748.333333,4763.333333,30000
4763.333333,4778.333333,30000
4778.333333,4793.333333,30000
4793.333333,4808.333333,30000
4808.333333,4823.333333,30000
4823.333333,4838.333333,30000
4838.333333,4853.333333,30000
4853.333333,4868.333333,30000
4868.333333,4883.333333,30000
4883.333333,4898.333333,30000
4898.333333,4913.333333,30000
4913.333333,4928.333333,30000
4928.333333,4943.333333,30000
4943.333333,4958.333333,30000
4958.333333,4973.333333,30000
4973.333333,4988.333333,30000
4988.333333,5003.333333,30000
5003.333333,5018.333333,30000
5018.333333,5033.333333,30000
5033.333333,5048.333333,30000
5048.333333,5063.333333,30000
5063.333333,5078.333333,30000
5078.333333,5093.333333,30000
5093.333333,5108.333333,30000
5108.333333,5123.333333,30000
5123.333333,5138.333333,30000
5138.333333,5153.333333,30000
5153.333333,5168.333333,30000
5168.333333,5183.333333,30000
5183.333333,5198.333333,30000
5198.333333,5213.333333,30000
5213.333333,5228.333333,30000
5228.333333,5243.333333,30000
5243.333333,5258.333333,30000
5258.333333,5273.333333,30000
5273.333333,5288.333333,30000
5288.333333,5303.333333,30000
5303.333333,5318.333333,30000
5318.333333,5333.333333,30000
5333.333333,5348.333333,30000
5348.333333,5363.333333,30000
5363.333333,5378.333333,30000
5378.333333,5393.333333,30000
5393.333333,5408.333333,30000
5408.333333,5423.333333,30000
5423.333333,5438.333333,30000
5438.333333,5453.333333,30000
5453.333333,5468.333333,30000
5468.333333,5483.333333,30000
5483.333333,5498.333333,30000
5498.333333,5513.333333,30000
5513.333333,5528.333333,30000
5528.333333,5543.333333,30000
5543.333333,5558.333333,30000
5558.333333,5573.333333,30000
5573.333333,5588.333333,30000
5588.333333,5603.333333,30000
5603.333333,5618.333333,30000
5618.333333,5633.333333,30000
5633.333333,5648.333333,30000
5648.333333,5663.333333,30000
5663.333333,5678.333333,30000
5678.333333,5693.333333,30000
5693.333333,5708.333333,30000
5708.333333,5723.333333,30000
5723.333333,5738.333333,30000
5738.333333,5753.333333,30000
5753.333333,5768.333333,30000
5768.333333,5783.333333,30000
5783.333333,5798.333333,30000
5798.333333,5813.333333,30000
5813.333333,5828.333333,30000
5828.333333,5843.333333,30000
5843.333333,5858.333333,30000
5858.333333,5873.333333,30000
5873.333333,5888.333333,30000
5888.333333,5903.333333,30000
5903.333333,5918.333333,30000
5918.333333,5933.333333,30000
5933.333333,5948.333333,30000
5948.333333,5963.333333,30000
5963.333333,5978.333333,30000
5978.333333,5993.333333,30000
5993.333333,6008.333333,30000
6008.333333,6023.333333,30000
6023.333333,6038.333333,30000
6038.333333,6053.333333,30000
6053.333333,6068.333333,30000
6068.333333,6083.333333,30000
6083.333333,6098.333333,30000
6098.333333,6113.333333,30000
6113.333333,6128.333333,30000
6128.333333,6143.333333,30000
6143.333333,6158.333333,30000
6158.333333,6173.333333,30000
6173.333333,6188.333333,30000
6188.333333,6203.333333,30000
6203.333333,6218.333333,30000
6218.333333,6233.333333,30000
6233.333333,6248.333333,30000
6248.333333,6263.333333,30000
6263.333333,6278.333333,30000
6278.333333,6293.333333,30000
6293.333333,6308.333333,30000
6308.333333,6323.333333,30000
6323.333333,6338.333333,30000
6338.333333,6353.333333,30000
6353.333333,6368.333333,30000
6368.333333,6383.333333,30000
6383.333333,6398.333333,30000
6398.333333,6413.333333,30000
6413.333333,6428.333333,30000
6428.333333,6443.333333,30000
6443.333333,6458.333333,30000
6458.333333,6473.333333,30000
6473.333333,6488.333333,30000
6488.333333,6503.333333,30000
6503.333333,6518.333333,30000
6518.333333,6533.333333,30000
6533.333333,6548.333333,30000
6548.333333,6563.333333,30000
6563.333333,6578.333333,30000
6578.333333,6593.333333,30000
6593.333333,6608.333333,30000
6608.333333,6623.333333,30000
6623.333333,6638.333333,30000
6638.333333,6653.333333,30000
6653.333333,6668.333333,30000
6668.333333,6683.333333,30000
6683.333333,6698.333333,30000
6698.333333,6713.333333,30000
6713.333333,6728.333333,30000
6728.333333,6743.333333,30000
6743.333333,6758.333333,30000
6758.333333,6773.333333,30000
6773.333333,6788.333333,30000
6788.333333,6803.333333,30000
6803.333333,6818.333333,30000
6818.333333,6833.333333,30000
6833.333333,6848.333333,30000
6848.333333,6863.333333,30000
6863.333333,6878.333333,30000
6878.333333,6893.333333,30000
6893.333333,6908.333333,30000
6908.333333,6923.333333,30000
6923.333333,6938.333333,30000
6938.333333,6953.333333,30000
6953.333333,6968.333333,30000
6968.333333,6983.333333,30000
6983.333333,6998.333333,30000
6998.333333,7013.333333,30000
7013.333333,7028.333333,30000
7028.333333,7043.333333,30000
7043.333333,7058.333333,30000
7058.333333,7073.333333,30000
7073.333333,7088.333333,30000
7088.333333,7103.333333,30000
7103.333333,7118.333333,30000
7118.333333,7133.333333,30000
7133.333333,7148.333333,30000
7148.333333,7163.333333,30000
7163.333333,7178.333333,30000
7178.333333,7193.333333,30000
7193.333333,7208.333333,30000
7208.333333,7223.333333,30000
7223.333333,7238.333333,30000
7238.333333,7253.333333,30000
7253.333333,7268.333333,30000
7268.333333,7283.333333,30000
7283.333333,7298.333333,30000
7298.333333,7313.333333,30000
7313.333333,7328.333333,30000
7328.333333,7343.333333,30000
7343.333333,7358.333333,30000
7358.333333,7373.333333,30000
7373.333333,7388.333333,30000
7388.333333,7403.333333,30000
7403.333333,7418.333333,30000
7418.333333,7433.333333,30000
7433.333333,7448.333333,30000
7448.333333,7463.333333,30000
7463.333333,7478.333333,30000
7478.333333,7493.333333,30000
7493.333333,7508.333333,30000
7508.333333,7523.333333,30000
7523.333333,7538.333333,30000
7538.333333,7553.333333,30000
7553.333333,7568.333333,30000
7568.333333,7583.333333,30000
7583.333333,7598.333333,30000
7598.333333,7613.333333,30000
7613.333333,7628.333333,30000
7628.333333,7643.333333,30000
7643.333333,7658.333333,30000
7658.333333,7673.333333,30000
7673.333333,7688.333333,30000
7688.333333,7703.333333,30000
7703.333333,7718.333333,30000
7718.333333,7733.333333,30000
7733.333333,7748.333333,30000
7748.333333,7763.333333,30000
7763.333333,7778.333333,30000
7778.333333,7793.333333,30000
7793.333333,7808.333333,30000
7808.333333,7823.333333,30000
7823.333333,7838.333333,30000
7838.333333,7853.333333,30000
7853.333333,7868.333333,30000
7868.333333,7883.333333,30000
7883.333333,7898.333333,30000
7898.333333,7913.333333,30000
7913.333333,7928.333333,30000
7928.333333,7943.333333,30000
7943.333333,7958.333333,30000
7958.333333,7973.333333,30000
7973.333333,7988.333333,30000
7988.333333,8003.333333,30000
8003.333333,8018.333333,30000
8018.333333,8033.333333,30000
8033.333333,8048.333333,30000
8048.333333,8063.333333,30000
8063.333333,8078.333333,30000
8078.333333,8093.333333,30000
8093.333333,8108.333333,30000
8108.333333,8123.333333,30000
8123.333333,8138.333333,30000
8138.333333,8153.333333,30000
8153.333333,8168.333333,30000
8168.333333,8183.333333,30000
8183.333333,8198.333333,30000
8198.333333,8213.333333,30000
8213.333333,8228.333333,30000
8228.333333,8243.333333,30000
8243.333333,8258.333333,30000
8258.333333,8273.333333,30000
8273.333333,8288.333333,30000
8288.333333,8303.333333,30000
8303.333333,8318.333333,30000
8318.333333,8333.333333,30000
8333.333333,8348.333333,30000
8348.333333,8363.333333,30000
8363.333333,8378.333333,30000
8378.333333,8393.333333,30000
8393.333333,8408.333333,30000
8408.333333,8423.333333,30000
8423.333333,8438.333333,30000
8438.333333,8453.333333,30000
8453.333333,8468.333333,30000
8468.333333,8483.333333,30000
8483.333333,8498.333333,30000
8498.333333,8513.333333,30000
8513.333333,8528.333333,30000
8528.333333,8543.333333,30000
8543.333333,8558.333333,30000
8558.333333,8573.333333,30000
8573.333333,8588.333333,30000
8588.333333,8603.333333,30000
8603.333333,8618.333333,30000
8618.333333,8633.333333,30000
8633.333333,8648.333333,30000
8648.333333,8663.333333,30000
8663.333333,8678.333333,30000
8678.333333,8693.333333,30000
8693.333333,8708.333333,30000
8708.333333,8723.333333,30000
8723.333333,8738.333333,30000
8738.333333,8753.333333,30000
8753.333333,8768.333333,30000
8768.333333,8783.333333,30000
8783.333333,8798.333333,30000
8798.333333,8813.333333,30000
8813.333333,8828.333333,30000
8828.333333,8843.333333,30000
8843.333333,8858.333333,30000
8858.333333,8873.333333,30000
8873.333333,8888.333333,30000
8888.333333,8903.333333,30000
8903.333333,8918.333333,30000
8918.333333,8933.333333,30000
8933.333333,8948.333333,30000
8948.333333,8963.333333,30000
8963.333333,8978.333333,30000
8978.333333,8993.333333,30000
8993.333333,9008.333333,30000
9008.333333,9023.333333,500
9023.333333,9038.333333,500
9038.333333,9053.333333,500
9053.333333,9068.333333,500
9068.333333,9083.333333,500
9083.333333,9098.333333,500
9098.333333,9113.333333,500
9113.333333,9128.333333,500
9128.333333,9143.333333,500
9143.333333,9158.333333,500
9158.333333,9173.333333,500
9173.333333,9188.333333,500
9188.333333,9203.333333,500
9203.333333,9218.333333,500
9218.333333,9233.333333,500
9233.333333,9248.333333,500
9248.333333,9263.333333,500
9263.333333,9278.333333,500
9278.333333,9293.333333,500
9293.333333,9308.333333,500
9308.333333,9323.333333,500
9323.333333,9338.333333,500
9338.333333,9353.333333,500
9353.333333,9368.333333,500
9368.333333,9383.333333,500
9383.333333,9398.333333,500
9398.333333,9413.333333,500
9413.333333,9428.333333,500
9428.333333,9443.333333,500
9443.333333,9458.333333,500
9458.333333,9473.333333,500
9473.333333,9488.333333,500
9488.333333,9503.333333,500
9503.333333,9518.333333,500
9518.333333,9533.333333,500
9533.333333,9548.333333,500
9548.333333,9563.333333,500
9563.333333,9578.333333,500
9578.333333,9593.333333,500
9593.333333,9608.333333,500
9608.333333,9623.333333,500
9623.333333,9638.333333,500
9638.333333,9653.333333,500
9653.333333,9668.333333,500
9668.333333,9683.333333,500
9683.333333,9698.333333,500
9698.333333,9713.333333,500
9713.333333,9728.333333,500
9728.333333,9743.333333,500
9743.333333,9758.333333,500
9758.333333,9773.333333,500
9773.333333,9788.333333,500
9788.333333,9803.333333,500
9803.333333,9818.333333,500
9818.333333,9833.333333,500
9833.333333,9848.333333,500
9848.333333,9863.333333,500
9863.333333,9878.333333,500
9878.333333,9893.333333,500
9893.333333,9908.333333,500
9908.333333,9923.333333,500
9923.333333,9938.333333,500
9938.333333,9953.333333,500
9953.333333,9968.333333,500
9968.333333,9983.333333,500
9983.333333,9998.333333,500
9998.333333,10013.33333,500
10013.33333,10028.33333,30000
10028.33333,10043.33333,30000
10043.33333,10058.33333,30000
10058.33333,10073.33333,30000
10073.33333,10088.33333,30000
10088.33333,10103.33333,30000
10103.33333,10118.33333,30000
10118.33333,10133.33333,30000
10133.33333,10148.33333,30000
10148.33333,10163.33333,30000
10163.33333,10178.33333,30000
10178.33333,10193.33333,30000
10193.33333,10208.33333,30000
10208.33333,10223.33333,30000
10223.33333,10238.33333,30000
10238.33333,10253.33333,30000
10253.33333,10268.33333,30000
10268.33333,10283.33333,30000
10283.33333,10298.33333,30000
10298.33333,10313.33333,30000
10313.33333,10328.33333,30000
10328.33333,10331.069,30000
